lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,abe_average,veh_average,Blank,veh_N1,Abe_N1,veh_N2,Abe_N2,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6
5_Uracil,0.72355033,9.75699665,80.02800907,3.69E-19,2.65E-16,113 -> 70,pos1,2796.406858,1690.043451,1516.480099,1779.520123,1580.340118,1934.960129,1325.620094,1608.700108,2184.840153,1378.160091,1555.580109,1830.840145,4945.300385,1608.080109,5186.760288
1_Cryptoxanthin,0.674884475,9.631533793,69.44520934,7.86E-17,2.82E-14,552.4 -> 551.4,pos2,2545.023493,1592.310111,1224.840092,1543.940109,6918.880375,1769.040112,1424.640114,1536.440121,1890.700127,1922.540138,1610.380104,1452.900097,1618.020107,1329.000088,1807.520134
4_Malic acid,-0.400948181,11.61195271,25.56339477,4.28E-07,1.02E-04,135 -> 45,pos2,5356.807047,7060.793854,28646.32211,5556.040379,4873.02039,8025.060661,2817.360195,9316.28064,4447.240349,4165.440304,6727.680466,6962.220501,7425.780426,8339.720638,5849.760456
5_D-Mannitol,-0.37255321,11.98445687,22.20901934,2.45E-06,4.38E-04,183.1 -> 98,pos1,7982.323891,10321.75737,23621.28176,3990.100273,6737.400486,6664.560486,9326.420673,5199.140343,7733.3405,10521.28071,13762.72097,11893.94078,3464.640228,23661.52165,6869.42049
2_Hexanoylcarnitine,-0.345363434,9.460186411,18.07894802,2.12E-05,0.002906575,260.2 -> 85,pos2,1443.01677,1829.99013,3519.700256,2160.78014,1327.460102,2461.080189,1370.420094,1567.94009,1480.7201,1470.820122,1474.76012,1404.820099,1390.020103,1914.500141,1614.7201
5_Asparagine,0.266055185,9.486919257,10.77422657,0.001029232,0.105422778,133.1 -> 74,pos2,1877.64346,1558.570108,2975.380211,1451.000092,1610.180111,1776.880119,1516.020092,1140.380085,2191.38015,1412.900101,2255.180161,1463.540108,2013.220131,2106.720146,1679.880116
5_2-isopropylmalate; 6_2-Isopropylmalic acid,0.256223601,10.93885159,10.41998526,0.001246589,0.111725529,177.1 -> 95,pos2,2729.803529,2154.67682,1257.800095,1896.660137,4298.34026,1601.440125,3442.000278,1933.740143,2190.020161,2522.980171,1846.200138,3058.760208,2667.680218,1914.480137,1934.58012
5_2-isopropylmalate; 6_2-Isopropylmalic acid,0.256223601,10.93885159,10.41998526,0.001246589,0.111725529,177.1 -> 95,pos1,5560.297054,4646.410339,3279.780251,5689.220409,6473.740482,3207.600239,5356.360371,4230.860313,7421.30048,4691.880325,4387.260303,5348.620399,4019.540295,4710.280346,5703.580391
1_L-Carnitine,-0.241205745,9.384843997,8.860818541,0.002913569,0.208902892,162.1 -> 102.1,pos2,1583.330109,1868.173469,1249.880085,1825.240124,1462.060101,1977.840141,1448.94009,1910.440144,1576.780117,1876.660141,1615.900112,1621.680115,1604.500114,1997.180149,1791.800117
3_Thymine,-0.241854841,9.390989823,8.903566455,0.002846142,0.208902892,127.1 -> 110,pos1,1568.63678,1851.970131,1531.620106,1569.180115,1498.100101,3435.520256,1711.120121,1540.840107,1626.700111,1441.180103,1496.100109,1473.540104,1551.280128,1651.560101,1528.520111
2_Spermidine,-0.219845898,9.135295135,7.267060796,0.007023064,0.335702453,146.2 -> 72.1,pos2,1314.116756,1527.496774,1419.580097,1754.640125,1238.760082,1670.560112,1220.50008,1285.800083,1398.960087,1291.140102,1401.020103,1545.860119,1367.920082,1616.980103,1257.5401
3_Testosterone propionate,0.214354612,10.97744515,7.299222824,0.006898444,0.335702453,345.2 -> 97.1,pos2,5605.600389,4823.023679,3693.520245,5406.860413,6193.140434,4456.980293,7636.320587,4638.980316,5467.760399,5818.620438,4642.300285,4889.920349,4344.400311,3726.780266,5349.680317
4_Asparagine,0.220093171,10.74702898,7.664513234,0.005631745,0.335702453,133.1 -> 87.1,pos2,4730.310354,4054.776951,3794.720257,3168.240227,5102.640339,3569.940239,4991.800373,3986.140282,4742.380436,4079.460289,5176.960407,4244.760326,3881.6003,5280.120342,4486.48027
4_Pyroglutamic acid; 1_Acetaminophen (paracetamol),-0.221802452,9.305188916,7.451496762,0.006338372,0.335702453,152 -> 110,pos1,1458.640102,1698.093454,1842.040119,1645.160118,1474.860107,1531.680107,1557.160103,1598.200108,1446.340103,1536.020115,1381.300091,2014.520138,1340.100098,1862.980137,1552.080109
6_Dulcitol (i.e. Galactitol),-0.217367038,9.934308147,7.319933743,0.006819393,0.335702453,183.1 -> 57,pos1,2194.886811,2547.730177,3720.320271,1813.880116,2016.820133,1779.080124,1847.680115,1916.140137,2528.380157,1895.080132,2854.580196,3316.02026,1712.660114,4566.180294,2209.20015
2_Alanine,0.203024105,10.59799152,6.484727204,0.010880524,0.444675607,90 -> 72,pos1,3809.100257,3306.000249,8303.680611,2221.060162,4609.780312,5600.000416,6956.940437,2999.680225,3228.420212,2387.860157,2653.980202,3080.720238,2930.640205,3546.680294,2474.840172
3_Creatine,-0.201594284,10.77722687,6.439118265,0.011163404,0.444675607,132.1 -> 90.1,pos1,4297.207003,4931.973682,2317.140156,3166.900227,2896.780212,5270.200428,2600.740192,7914.700573,5636.160458,4846.600334,5383.100426,4198.760231,5272.700455,4194.680302,3993.760273
7_Oxoglutaric acid; 9_Oxoglutaric acid,-0.200620511,13.28744432,6.496540787,0.010808458,0.444675607,147 -> 65,pos2,9830.947365,10625.83409,59802.96404,7533.320534,7978.580475,11964.74088,9849.200706,9469.30069,7644.040493,10143.7207,11800.001,10839.48069,11077.36081,13804.44106,10636.50071
7_Oxoglutaric acid; 9_Oxoglutaric acid,-0.200620511,13.28744432,6.496540787,0.010808458,0.444675607,147 -> 65,pos1,18776.42804,21543.36482,87577.12602,19003.00126,17374.20122,29107.50225,17512.02127,19501.68116,13829.98087,20966.56125,20808.62164,15956.2813,19663.32147,24725.16169,23470.42175
3_6-Hydroxynicotinic acid,0.204774599,9.137123051,6.306329812,0.012030764,0.454003031,140 -> 122,pos2,1524.876773,1320.62676,1423.420101,1201.460094,1428.100101,1276.12009,1285.440086,1293.060089,2052.020134,1338.120087,1421.740101,1364.580101,1289.720093,1450.420101,1672.24012
5_UMP,-0.193800721,10.42571785,5.906633296,0.015083973,0.540760429,325 -> 97,pos1,3271.80024,3735.896938,3166.740211,3426.720257,3289.740246,4008.74028,3050.940201,3897.860287,3415.280231,3430.380238,3123.720268,3615.560261,3582.540272,4036.120308,3168.580223
2_Acetylcarnitine,-0.190760592,11.35167036,5.811826111,0.015918756,0.543511809,204.1 -> 85,pos2,6435.793782,7332.423854,3319.320248,4094.020298,5078.720398,5381.780418,3994.520248,10218.06075,8746.660671,8484.860699,8675.840584,6511.040405,5815.38039,9304.780556,6303.6404
4_6-Hydroxynicotinic acid,0.193142485,9.159527701,5.617264455,0.017784386,0.573446547,140 -> 94,pos2,1543.166783,1347.273431,1443.480106,1209.400093,1399.740116,1434.240089,1435.560112,1225.660088,2258.020168,1334.180088,1432.960102,1428.460106,1364.820099,1451.700119,1367.900101
6_Oxoglutaric acid; 8_Oxoglutaric acid,-0.185808048,12.69305851,5.558127673,0.018395078,0.573446547,147 -> 105.9,pos1,12665.35422,14384.32106,55909.20357,11710.70078,11396.78068,19696.5013,10998.8008,12622.32097,10421.78069,14367.1612,11873.42079,10676.44086,14972.68124,17232.80126,16328.66109
6_Oxoglutaric acid; 8_Oxoglutaric acid,-0.185808048,12.69305851,5.558127673,0.018395078,0.573446547,147 -> 105.9,pos2,6791.017162,7378.330547,37653.10252,5215.980381,5967.280476,8985.620655,5725.380398,6018.900391,5520.480412,6118.960438,8295.22049,8092.640598,6323.800533,9837.880817,8913.940662
4_Succinic acid,0.183166388,9.896529963,5.206134943,0.022507316,0.666083024,119 -> 73,pos2,2599.516848,2285.32349,2014.620148,2089.900143,2411.94017,2339.200188,2653.200214,2278.260162,2417.460152,2417.500145,3194.140232,2276.540154,2192.960133,2310.540146,2727.400185
6_Glutamine; 3_L-Lysine,0.180862583,11.2753521,5.151623269,0.023224652,0.666083024,147.1 -> 56.1,pos1,3891.563614,3426.680275,37926.80317,2937.460247,3219.920197,3455.740299,3432.320271,3342.460255,4169.220325,3361.00024,4876.580341,3407.520252,4050.680332,4055.900356,3600.660217
6_Glutamine; 3_L-Lysine,0.180862583,11.2753521,5.151623269,0.023224652,0.666083024,147.1 -> 56.1,pos2,3443.910248,3091.146877,17106.90104,2691.940182,2973.640259,2972.720222,2667.380222,3476.380241,3527.2602,2613.500172,4015.960266,3236.840199,3759.640266,3555.500244,3719.580273
