lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,abe_average,veh_average,Blank,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6,veh_N7,Abe_N7
1_L-2-Aminobutyric acid,-1.999519964,14.08890239,179.8021503,5.35E-41,3.84E-38,104.1 -> 58.1,pos1,19368.99736,78301.38221,5383.70039,318172.7661,13832.00105,14903.70107,20005.94155,17771.82121,19921.48139,21401.1016,21164.02137,19257.52109,21921.54147
4_D(-)-hydroxy butyric acid,-1.336038782,10.78994834,82.81771422,9.00E-20,3.23E-17,105.1 -> 45,pos2,2729.320188,6950.00052,1611.580116,23431.02183,2182.820141,2222.38015,2817.300182,2641.940182,3095.640232,3368.680222,2881.040203,3085.980213,2669.800182
5_D-Mannitol,1.11943202,12.4972578,59.08272206,1.51E-14,3.61E-12,183.1 -> 98,pos1,19005.12142,8764.976613,23621.28176,12236.24084,20603.14157,3911.480255,32995.50273,10527.80069,8735.560642,10770.08084,20483.94137,6379.280434,12207.46081
4_Inosine,-1.092783935,10.08081798,55.67501448,8.55E-14,1.53E-11,269.1 -> 137,pos1,1760.988126,3780.528247,2834.960194,11043.7207,1783.040142,2439.240173,1671.420128,1776.360134,1685.360123,1727.8601,1606.060104,1915.460129,2059.060135
3_L-Isoleucine,-0.939946306,14.34900118,42.04947363,8.90E-11,1.06E-08,132.1 -> 44,pos2,38268.71057,73934.56547,28049.66206,224686.0774,39843.88269,33327.50268,34987.62244,27966.78194,34744.14252,41292.06232,36567.9622,42400.40305,45199.94301
2_Valine,-0.929985461,13.70595339,41.15982679,1.40E-10,1.44E-08,118.1 -> 55.1,pos2,24340.94982,46705.97948,21952.76157,142063.4508,23066.58176,22926.86201,23636.80161,18045.10112,23960.54157,25353.80193,22327.8816,25140.68153,28712.94254
1_L-Proline,-0.924066213,12.3193196,40.54995935,1.92E-10,1.72E-08,116.1 -> 70.1,pos2,8145.612612,15570.56107,25677.60211,48558.92334,8364.880657,7680.540466,7787.020569,5679.140408,7833.140553,8180.200569,7632.260601,7754.000572,9110.760681
2_L-Leucine,-0.918134127,14.66546626,40.15808543,2.34E-10,1.87E-08,132.1 -> 44.1,pos2,48425.63904,92174.8597,30665.30211,286906.9657,48205.54329,41299.24315,40029.16283,34412.80227,42998.84288,42420.8232,52676.82264,55834.46416,58217.82358
4_L-Serine,-0.905473502,10.66902172,38.5875895,5.24E-10,3.75E-08,106.1 -> 60,pos2,2205.980173,4155.940281,14100.06117,11220.14078,2078.400162,2451.960167,1668.200115,1821.600143,1668.820129,2694.100166,2898.140228,2591.90015,2716.340233
3_L-Leucine,-0.872349601,13.51911053,36.28330895,1.71E-09,1.04E-07,132.1 -> 43.1,pos2,21966.81367,40476.86278,19036.18121,117238.1681,21503.86169,20543.84143,18623.44128,16240.74103,21037.90156,23906.86162,22683.24187,24454.70169,25985.62193
