lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,abe_average,veh_average,Blank,veh_N1,Abe_N1,veh_N2,Abe_N2,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6
3_Diphenylamine,1.099589855,13.30856864,263.4634324,3.02E-59,1.60E-56,170.1 -> 93.1,pos2,78517.02238,36610.92264,1691.300121,62990.36533,64518.98495,26947.42186,66678.22435,46571.06274,93962.18665,33828.58253,81391.24524,21685.44145,70598.46533,27642.6619,93953.02779
4_Diphenylamine,1.088974475,12.67514919,258.1058885,4.44E-58,1.18E-55,170.1 -> 92.1,pos2,50473.06055,23709.03166,1289.28009,43493.48312,41418.38319,16120.40097,40091.82281,29330.68201,60007.08471,22629.24183,49280.42416,13692.20095,60946.34439,16988.1811,51094.30404
1_Cryptoxanthin,0.933349531,8.909802338,180.4396283,3.89E-41,6.86E-39,552.4 -> 551.4,pos2,3460.686906,1810.006793,1170.580074,1874.040134,3916.100254,1939.360134,4741.340328,1383.640102,3842.020283,2214.160149,3093.880234,1752.940113,2881.920193,1695.900124,2288.860146
2_Atenolol,0.568914795,8.786222957,67.3570236,2.27E-16,3.00E-14,265.2 -> 97,neg2,2766.133523,1862.783463,2313.760166,1879.840134,2320.580158,1735.480129,2450.200176,1855.260124,2443.380173,2029.020134,4372.840267,1758.100124,1999.620152,1919.00013,3010.18021
5_Cytidine,0.40798751,10.53490025,36.29048125,1.70E-09,1.80E-07,244.1 -> 95,pos2,7813.923885,5883.817088,18911.38152,7085.820534,7037.480499,5351.800392,6425.300453,7108.820507,14659.341,5924.560432,5765.680359,3388.540241,6245.420464,6443.36042,6750.32053
4_Sphingosine,-0.36352522,11.25870306,29.15974834,6.66E-08,5.89E-06,300.3 -> 282.3,pos2,12061.15752,15495.1478,1812.860134,10066.44067,17741.9012,11623.40079,13646.30093,21770.7016,8585.62056,19079.76154,8103.920494,16804.34119,13707.24116,13626.241,10581.96075
4_Malic acid,0.335173374,11.27729754,24.76456354,6.48E-07,4.90E-05,135 -> 45,pos2,13692.97762,10841.64079,22007.48163,11004.84094,17196.68126,9020.920624,13851.64111,16196.64107,14446.28108,10065.96069,13272.26083,8431.040684,10992.46072,10330.44072,12398.54075
5_L-Serine,0.315615111,11.61802288,22.04937808,2.66E-06,1.76E-04,106.1 -> 42,pos2,19630.45134,15755.92442,2148.760162,14109.24084,22836.24142,15025.64108,14326.16109,12829.18084,33073.48217,20319.54141,15839.36102,14309.22099,17218.02129,17942.72133,14489.44102
4_Stearic acid,0.311034903,8.331900408,19.70069267,9.06E-06,5.33E-04,285.3 -> 89.1,pos2,1787.266795,1439.076771,2588.760162,1541.680134,1805.16013,1438.12009,1887.06012,1528.340111,1994.720139,1410.700108,1791.640137,1343.980083,1680.760136,1371.640102,1564.260109
4_Glyceraldehyde 3-phosphate,0.286633923,8.716814738,17.17260013,3.41E-05,0.001809018,171 -> 81,pos2,2492.080179,2040.673478,1480.620121,2192.340164,2789.060192,1764.680115,2233.120144,2466.160175,2682.780216,1835.060127,2107.680153,2201.720161,2831.660213,1784.080128,2308.180157
2_Testosterone propionate,0.244663395,8.436045887,12.32581888,4.47E-04,0.019939239,345.2 -> 109.1,pos2,1977.926809,1667.586791,1725.340115,1873.84013,2241.520176,1524.140121,1801.060116,1734.820126,2170.680145,1660.620129,1827.42012,1472.760098,1987.340164,1739.340141,1839.540134
6_Theanine,-0.24446094,8.412825279,12.30620701,4.51E-04,0.019939239,175.1 -> 84,pos2,1670.623455,1977.080147,1335.520092,2085.080143,1709.46014,2458.560196,1650.760113,1817.220131,1696.000103,2137.180153,1675.720131,1824.360142,1677.540119,1540.080116,1614.260124
6_Uridine,0.238913029,8.758527267,11.91955645,5.55E-04,0.022646372,245.1 -> 57,pos2,2398.096833,2029.833479,2942.920204,2079.100147,2657.680176,1951.860134,2421.500164,2326.040169,2672.320202,1939.160137,2180.340145,1859.060143,2059.180141,2023.780144,2397.560169
4_L-Phenylalanine,-0.238025809,8.561749738,11.7651375,6.04E-04,0.022846946,166.1 -> 131,pos2,1871.963472,2205.670152,1287.420097,3106.140209,2234.120159,2842.220192,1870.040146,1687.640118,2290.540165,2142.340153,1637.60014,1815.06012,1581.880123,1640.620121,1617.600101
5_D-Biotin,0.211913042,8.570158033,9.29069686,0.002303205,0.08137992,245.1 -> 97,pos2,2072.296817,1787.220118,2736.100166,1714.560108,2019.200142,1624.940125,2010.840153,1765.700115,2689.440178,1941.980118,1983.020153,1766.92012,1867.480144,1909.220123,1863.800129
4_Methionine,-0.190862252,8.707464216,7.625063588,0.005756264,0.190676245,150.1 -> 102.1,pos2,2129.206821,2427.40017,1153.240086,1773.280125,2700.060215,2617.260189,2791.340199,2726.900181,1997.740158,2740.2202,1624.020115,1988.980141,1712.46011,2717.760185,1949.620132
6_Bilirubin,-0.184827206,8.427993292,7.038945594,0.007975597,0.248650971,585.3 -> 584.3,pos2,1708.130124,1939.346809,1580.620117,1467.360104,2137.480167,2247.240177,1441.140083,1770.480118,1503.90012,2027.380154,1746.020126,1988.980148,1656.320118,2134.640152,1763.920132
5_Ranitidine,0.175618663,8.515777402,6.390944287,0.011470399,0.337739538,315.2 -> 176,pos2,2083.12348,1842.133466,1389.92009,1597.740124,2235.960152,1713.900124,1947.020115,1623.26012,2102.420166,1681.260117,1996.340145,2431.720173,1730.620106,2004.920139,2486.380196
3_D(-)-hydroxy butyric acid,0.170092792,8.420697815,5.954724861,0.014677893,0.409435975,105.1 -> 77,pos2,1902.133471,1688.686783,1802.220119,1715.360119,2047.100143,1623.760117,1947.000145,1988.480125,2018.700153,1662.500114,1533.840099,1580.680107,1696.58012,1561.340115,2169.580162
3_L-Serine,-0.169320989,7.947640285,5.730992927,0.016668056,0.420669977,106.1 -> 64,pos2,1231.976753,1383.920101,1117.400066,1505.040112,1166.220085,1367.600101,1218.840092,1254.840096,1260.900082,1363.740105,1155.68008,1493.140099,1373.000092,1319.160091,1217.220089
5_Succinic acid,0.169408671,8.123071987,5.800243693,0.016023954,0.420669977,119 -> 45,pos2,1544.533442,1371.89343,1491.12011,1298.100094,1616.920105,1322.060085,1385.820095,1433.300106,1494.580109,1607.440117,1531.240112,1249.16008,1519.820103,1321.300098,1718.820129
1_Retinyl palmitate,-0.162599517,7.96878409,5.283615191,0.021527005,0.493001268,525.5 -> 269.2,pos2,1231.280089,1376.633432,1412.080109,1168.520081,1205.240086,1363.580097,1335.680099,1270.920094,1212.340092,1486.92012,1290.480091,1383.340096,1165.300079,1586.520103,1178.640087
2_Caprylic acid,-0.157723845,8.776448185,5.220308854,0.022324586,0.493001268,145.1 -> 57.1,pos2,2234.006827,2489.523513,1546.640125,2496.860207,2166.660149,2525.580154,2706.2202,2785.120182,2285.44017,3028.640224,2345.100174,1579.780125,2006.960148,2521.160187,1893.660122
5_Stearic acid,0.161420472,8.277988262,5.313327957,0.021162893,0.493001268,285.3 -> 71.1,pos2,1695.990117,1514.700106,1880.460133,1545.620113,2109.000153,1494.280117,1697.340103,1628.600105,1809.68013,1545.660103,1594.840111,1459.900097,1522.880104,1414.140102,1442.2001
4_L-Aspartic Acid,0.148900547,9.174928328,4.726588106,0.029699745,0.582994992,134 -> 70,pos2,3326.560236,2997.356865,1465.0201,3129.640213,3285.460186,3207.620232,2789.180187,3084.800198,4597.420349,3131.30019,3317.000259,2390.120148,3120.64024,3040.66021,2849.660194
6_Hypoxanthine,0.153978674,8.081634827,4.784814132,0.028711746,0.582994992,135 -> 92,neg1,1511.886775,1357.323429,1237.500084,1361.320103,1577.700119,1352.540077,1540.460114,1360.800098,1521.020107,1374.720097,1473.8601,1339.440102,1446.62011,1355.120098,1511.660103
6_Stearic acid,0.150432026,8.788297895,4.729836791,0.029643698,0.582994992,285.3 -> 57.1,pos2,2332.903498,2099.353486,3529.320244,2107.380173,2972.100212,1979.400131,2581.800194,2140.700153,2211.740147,1973.960144,2190.040138,2257.740173,1884.580128,2136.94014,2157.160172
3_Methionine,0.148291896,9.01169283,4.663421079,0.030811741,0.583222247,150.1 -> 104.1,pos2,2988.723553,2693.766856,1096.100079,2210.400146,3133.920204,3339.420242,3228.480251,2271.760143,2460.520172,2468.320156,3515.680264,2754.440216,2746.460236,3118.260231,2847.28019
4_L-Serine,-0.136731427,11.33271544,4.137153517,0.041951657,0.766702697,106.1 -> 60,pos2,13803.56432,15159.09107,2190.640152,12241.96094,14734.08105,18383.02139,14715.26099,11989.0008,13106.90095,15096.84108,12975.12095,14221.24104,13049.10096,19022.48117,14240.92102
4_6-Hydroxynicotinic acid,0.135500625,8.041154594,3.691184319,0.054700763,0.905981385,140 -> 94,pos2,1443.933435,1313.083427,1397.960087,1334.300095,1333.460094,1284.120094,1479.060108,1447.180103,1336.160088,1332.220093,1452.64011,1191.00008,1502.780109,1289.680099,1559.500099
5_D-Ribulose 5-phosphate,0.128702199,13.30622875,3.694896894,0.054579156,0.905981385,231 -> 81,pos2,59538.45116,54397.68041,7544.540512,57125.36411,58471.86516,49223.52396,59262.94392,49685.78325,60849.84396,57504.78349,58209.10484,55844.22392,60618.12409,57002.40369,59818.82497
5_Folic acid,-0.13382542,8.466425731,3.703350394,0.054303324,0.905981385,442.1 -> 295.1,pos2,1812.946793,1987.150142,1302.200089,2496.940174,1617.800114,1970.600128,2151.22015,1988.060158,1700.400108,1674.860119,1798.140121,1882.920143,1921.100147,1909.52013,1689.020119
5_Asparagine,-0.126900522,9.143071215,3.430465031,0.064004077,0.997710608,133.1 -> 74,pos2,2967.40021,3237.030238,1321.340099,3203.80022,3219.920219,3856.140282,2743.480186,2826.40023,3122.000233,2690.900192,2515.920189,2430.260181,2681.240177,4414.680325,3521.840256
_2-hydroxy-butanoic acid,-0.001244826,8.085892468,3.13E-04,0.985892064,0.999868215,103 -> 57.1,neg2,1423.473433,1423.146764,1425.920094,1433.900101,1420.480099,1416.600101,1429.480099,1418.960091,1422.060101,1426.060101,1410.680103,1424.060093,1422.940094,1419.300098,1435.2001
1_(+)-alpha-Tocopherol,6.06E-04,8.058641269,7.39E-05,0.993141872,0.999868215,429.4 -> 414.4,neg2,1397.886767,1395.773434,1396.940105,1397.060093,1400.2001,1397.560097,1399.280098,1396.160103,1395.260105,1394.080097,1396.100094,1393.780109,1399.800102,1396.000103,1396.680103
1_2-Aminoadipic acid,-0.002198616,7.875443924,9.61E-04,0.975274506,0.999868215,160.1 -> 116.1,neg1,1230.346754,1230.880088,1223.000092,1227.860088,1228.040081,1236.600086,1226.360088,1232.540092,1238.180088,1225.68008,1233.340084,1224.760082,1224.380096,1237.840096,1231.780087
1_2-isopropylmalate; 2_2-Isopropylmalic acid,-0.00215618,7.871791612,9.24E-04,0.975755402,0.999868215,175.1 -> 115,neg1,1226.913418,1227.406752,1223.920082,1225.940083,1227.900085,1231.12009,1224.420082,1226.000088,1224.980083,1229.960087,1228.220089,1225.760082,1227.420086,1225.66008,1228.540081
1_2-isopropylmalate; 2_2-Isopropylmalic acid,-0.00215618,7.871791612,9.24E-04,0.975755402,0.999868215,175.1 -> 115,neg2,1401.21677,1399.273432,1397.220097,1405.060108,1407.260098,1396.780094,1401.560108,1400.340092,1399.040104,1398.300091,1398.620102,1396.120102,1402.900097,1399.040104,1397.920109
1_2-Isopropylmalic acid,-9.62E-04,7.866910202,1.84E-04,0.989188237,0.999868215,175.1 -> 150,neg1,1222.87675,1222.356754,1224.460072,1225.360096,1223.880089,1223.420082,1222.280083,1221.440086,1222.520077,1222.660095,1223.120083,1218.68008,1221.920082,1222.580082,1223.540089
